TICKER,OFTIC,MEASURE,FISCALP,anndats,actual,suescore
0000,TLMR,EPS,ANN,2015-01-30,1.21,0.5111
0000,TLMR,EPS,ANN,2016-01-26,1.02,1.64993
0001,EPE,EPS,ANN,2014-02-27,-0.28,-3.66155
0001,EPE,EPS,ANN,2015-02-18,0.86,-0.4511
0001,EPE,EPS,ANN,2016-02-18,0.78,0.12584
0001,EPE,EPS,ANN,2017-03-01,0.62,-1.74556
0001,EPE,EPS,ANN,2018-02-28,-0.39,0.99688
0001,EPE,EPS,ANN,2019-03-14,-0.25,0.26823
0004,ACSF,EPS,ANN,2015-02-09,0.38,-38.68249
0004,ACSF,EPS,ANN,2016-02-08,-1.47,-176
000R,CRCM,EPS,ANN,2014-02-26,-9.45,3.07957
000R,CRCM,EPS,ANN,2015-03-19,-1.05,0.47809
000R,CRCM,EPS,ANN,2016-02-23,-0.4,11.17265
000R,CRCM,EPS,ANN,2017-03-09,0.19,1.48565
000R,CRCM,EPS,ANN,2018-02-27,0.69,6.59338
000R,CRCM,EPS,ANN,2019-03-07,0.77,4.89916
000V,CLDN,EPS,ANN,2014-03-31,-12109.5,-24.38348
000V,CLDN,EPS,ANN,2015-03-31,-819,-3.06117
000V,EIGR,EPS,ANN,2017-03-23,-235.2,0.28564
000V,EIGR,EPS,ANN,2018-03-09,-145.8,-0.54496
000V,EIGR,EPS,ANN,2019-03-14,-114.6,-0.86417
000V,EIGR,EPS,ANN,2020-03-13,-92.4,-0.33978
000V,EIGR,EPS,ANN,2021-03-09,-69.3,-1.07324
000V,EIGR,EPS,ANN,2022-03-10,-30,0.43016
000V,EIGR,EPS,ANN,2023-03-16,-69.6,-0.32619
000V,EIGR,EPS,ANN,2024-04-08,-50.78,
000Y,RARE,EPS,ANN,2014-03-24,-14.87,-145.65967
000Y,RARE,EPS,ANN,2015-03-25,-2.25,-0.54571
000Y,RARE,EPS,ANN,2016-02-25,-3.96,-3.45242
000Y,RARE,EPS,ANN,2017-02-16,-6.21,-0.40471
000Y,RARE,EPS,ANN,2018-02-20,-7.12,1.0195
000Y,RARE,EPS,ANN,2019-02-19,-3.97,0.1672
000Y,RARE,EPS,ANN,2020-02-13,-7.12,0.00991
000Y,RARE,EPS,ANN,2021-02-11,-3.07,2.77034
000Y,RARE,EPS,ANN,2022-02-10,-6.7,-1.08046
000Y,RARE,EPS,ANN,2023-02-16,-10.12,-0.27952
000Y,RARE,EPS,ANN,2024-02-15,-8.25,0.01457
000Z,BIOC,EPS,ANN,2015-03-09,-107190,1.41423
000Z,BIOC,EPS,ANN,2016-03-09,-27540,3.53557
000Z,BIOC,EPS,ANN,2017-03-07,-17280,1.58258
000Z,BIOC,EPS,ANN,2018-03-28,-7110,-0.53033
000Z,BIOC,EPS,ANN,2019-03-28,-2703,1.06116
000Z,BIOC,EPS,ANN,2020-03-25,-366,
000Z,BIOC,EPS,ANN,2021-03-29,-45,
000Z,BIOC,EPS,ANN,2022-04-05,-5.7,-1.64993
000Z,BIOC,EPS,ANN,2023-04-17,-56.7,-23.90044
0011,HELI,EPS,ANN,2014-07-09,-37.2,0.50852
0011,HELI,EPS,ANN,2015-06-29,-54.6,-1.12486
0011,HELIQ,EPS,ANN,2016-07-15,-50.07,
0017,ASPX,EPS,ANN,2014-03-28,-0.371,
0017,ASPX,EPS,ANN,2015-03-16,-2.68,-1.29624
0018,EGLT,EPS,ANN,2014-03-26,-15.64,-1.20507
0018,EGLT,EPS,ANN,2015-03-16,-2.97,1.68164
0018,EGLT,EPS,ANN,2016-03-08,-2.94,6.23167
0018,EGLT,EPS,ANN,2017-03-09,-3.7,0.01161
0018,EGLT,EPS,ANN,2018-03-12,-2.05,3.26182
001A,EBIO,EPS,ANN,2014-03-31,-323.6,-16.1414
001A,EBIO,EPS,ANN,2015-03-04,-47.4,-1.5949
001A,EBIO,EPS,ANN,2016-03-24,-35.2,-2.91682
001A,EBIO,EPS,ANN,2017-03-24,0.8,
001A,EBIO,EPS,ANN,2018-04-02,-22.2,
001A,SESN,EPS,ANN,2019-03-01,-11,-0.40825
001A,SESN,EPS,ANN,2020-03-16,-23.6,-23.09402
001A,SESN,EPS,ANN,2021-03-15,-3.8,0.2357
001A,SESN,EPS,ANN,2022-02-28,0,0.89626
001A,CARM,EPS,ANN,2024-04-01,-2.59,-0.26457
001C,ARGS,EPS,ANN,2014-03-27,-2947.4,-17.28825
001C,ARGS,EPS,ANN,2015-03-30,-62.4,-1.46705
001C,ARGS,EPS,ANN,2016-03-29,-73.2,-0.48347
001C,ARGS,EPS,ANN,2017-03-16,-32.6,-1.85168
001C,ARGS,EPS,ANN,2018-04-02,-14.36,
001J,KN,EPS,ANN,2015-02-12,1.1,-7.64024
001J,KN,EPS,ANN,2016-02-11,0.65,11.40506
001J,KN,EPS,ANN,2017-02-06,0.94,2.2823
001J,KN,EPS,ANN,2018-02-07,0.88,1.00586
001J,KN,EPS,ANN,2019-02-07,1.01,2.25006
001J,KN,EPS,ANN,2020-02-04,1.07,-4.54397
001J,KN,EPS,ANN,2021-02-04,0.64,0.21631
001J,KN,EPS,ANN,2022-02-09,1.53,5.0921
001J,KN,EPS,ANN,2023-02-09,1.26,0.29815
001J,KN,EPS,ANN,2024-02-07,0.88,-0.83333
001K,IBP,EPS,ANN,2014-03-26,0.02,-13.58301
001K,IBP,EPS,ANN,2015-03-04,0.54,0.40826
001K,IBP,EPS,ANN,2016-03-02,0.89,0.05913
001K,IBP,EPS,ANN,2017-02-27,1.54,12.18212
001K,IBP,EPS,ANN,2018-02-28,2.05,-3.41482
001K,IBP,EPS,ANN,2019-02-28,2.67,1.2843
001K,IBP,EPS,ANN,2020-02-27,3.29,0.93062
001K,IBP,EPS,ANN,2021-02-24,4.34,0.04445
001K,IBP,EPS,ANN,2022-02-24,5.44,-1.73034
001K,IBP,EPS,ANN,2023-02-22,8.95,1.01736
001K,IBP,EPS,ANN,2024-02-22,10.27,0.93733
001L,CNCE,EPS,ANN,2014-03-31,-4.99,-3.02087
001L,CNCE,EPS,ANN,2015-02-27,-2,-0.12172
001L,CNCE,EPS,ANN,2016-03-01,1.09,0.36116
001L,CNCE,EPS,ANN,2017-03-06,-2.28,0.7414
001L,CNCE,EPS,ANN,2018-03-01,4.06,0.23709
001L,CNCE,EPS,ANN,2019-02-28,-2.4,-3.89883
001L,CNCE,EPS,ANN,2020-02-27,-3.29,-2.50782
001L,CNCE,EPS,ANN,2021-02-25,-2.4,0.9008
001L,CNCE,EPS,ANN,2022-03-03,-2.33,-2.0955
001M,INGN,EPS,ANN,2014-03-27,0.22,-0.5
001M,INGN,EPS,ANN,2015-04-27,0.33,2.45436
001M,INGN,EPS,ANN,2016-03-14,0.56,6.38556
001M,INGN,EPS,ANN,2017-02-28,0.97,11.67333
001M,INGN,EPS,ANN,2018-02-27,1.31,2.25126
001M,INGN,EPS,ANN,2019-02-26,2.3,3.29597
001M,INGN,EPS,ANN,2020-02-25,0.94,-7.81048
001M,INGN,EPS,ANN,2021-02-24,-0.27,0.49009
001M,INGN,EPS,ANN,2022-02-24,-0.28,-6.8647
001M,INGN,EPS,ANN,2023-02-23,-1.4,3.07931
001M,INGN,EPS,ANN,2024-02-27,-4.42,-1.02722
001N,COUP,EPS,ANN,2015-02-09,0.09,
001N,QUOT,EPS,ANN,2016-02-11,0.1,7.07114
001N,QUOT,EPS,ANN,2017-02-09,0.12,7.50491
001N,QUOT,EPS,ANN,2018-02-13,0.16,0.70711
001N,QUOT,EPS,ANN,2019-02-12,0.03,-4
001N,QUOT,EPS,ANN,2020-02-12,-0.41,-0.09078
001N,QUOT,EPS,ANN,2021-02-10,-0.72,-6.92971
001N,QUOT,EPS,ANN,2022-02-09,0.15,
001N,QUOT,EPS,ANN,2023-02-28,-0.8,
001R,CSRE,EPS,ANN,2015-03-05,2.04,
001X,REPH,EPS,ANN,2015-03-25,-2.79,1.11292
001X,REPH,EPS,ANN,2016-03-24,0.21,7.20201
001X,REPH,EPS,ANN,2017-03-06,-2.82,0.43773
001X,REPH,EPS,ANN,2018-02-27,-1.99,2.00189
001X,REPH,EPS,ANN,2019-02-19,-2.49,1.06562
001X,REPH,EPS,ANN,2020-03-04,0.21,3.59397
001X,REPH,EPS,ANN,2021-02-26,-1.16,-2.76414
